iter	Passed	Remaining
0	28	28524
1	50	25044
2	76	25544
3	105	26223
4	134	26740
5	161	26835
6	190	26994
7	217	27012
8	243	26858
9	270	26748
10	294	26476
11	317	26162
12	343	26101
13	374	26398
14	396	26049
15	419	25769
16	440	25451
17	461	25169
18	482	24917
19	505	24752
20	528	24659
21	554	24652
22	578	24580
23	605	24610
24	633	24723
25	669	25073
26	693	25005
27	718	24931
28	741	24824
29	764	24712
30	786	24599
31	813	24619
32	838	24577
33	861	24478
34	885	24402
35	910	24380
36	935	24358
37	959	24291
38	985	24285
39	1008	24204
40	1032	24151
41	1056	24090
42	1080	24058
43	1103	23972
44	1125	23879
45	1149	23843
46	1175	23829
47	1197	23746
48	1217	23633
49	1246	23684
50	1270	23650
51	1293	23572
52	1315	23504
53	1346	23592
54	1378	23686
55	1402	23648
56	1428	23635
57	1452	23594
58	1481	23621
59	1515	23737
60	1539	23700
61	1566	23702
62	1592	23684
63	1616	23638
64	1645	23671
65	1671	23659
66	1696	23625
67	1720	23582
68	1745	23550
69	1772	23548
70	1793	23468
71	1820	23466
72	1842	23393
73	1866	23353
74	1890	23312
75	1914	23281
76	1939	23251
77	1963	23212
78	1986	23161
79	2013	23159
80	2041	23163
81	2069	23172
82	2092	23120
83	2117	23092
84	2143	23077
85	2170	23067
86	2193	23015
87	2220	23016
88	2244	22977
89	2267	22930
90	2292	22902
91	2315	22854
92	2340	22826
93	2362	22769
94	2386	22731
95	2413	22726
96	2435	22675
97	2457	22619
98	2480	22573
99	2507	22569
100	2530	22527
101	2553	22480
102	2577	22445
103	2602	22420
104	2627	22394
105	2654	22384
106	2677	22349
107	2704	22340
108	2732	22339
109	2760	22337
110	2787	22323
111	2818	22346
112	2844	22328
113	2870	22305
114	2895	22284
115	2919	22247
116	2941	22201
117	2971	22212
118	2997	22191
119	3022	22162
120	3049	22154
121	3074	22127
122	3099	22098
123	3120	22043
124	3141	21987
125	3162	21934
126	3183	21880
127	3203	21826
128	3224	21768
129	3248	21742
130	3271	21703
131	3295	21667
132	3322	21659
133	3348	21642
134	3376	21634
135	3400	21605
136	3423	21562
137	3449	21549
138	3477	21539
139	3501	21509
140	3530	21506
141	3556	21486
142	3581	21463
143	3610	21460
144	3633	21428
145	3658	21396
146	3683	21377
147	3708	21349
148	3737	21347
149	3758	21295
150	3783	21274
151	3813	21273
152	3837	21242
153	3860	21209
154	3884	21176
155	3908	21143
156	3936	21138
157	3964	21125
158	3985	21080
159	4010	21053
160	4033	21020
161	4062	21015
162	4090	21002
163	4116	20982
164	4145	20977
165	4175	20977
166	4201	20958
167	4229	20945
168	4260	20949
169	4287	20930
170	4314	20914
171	4337	20881
172	4360	20845
173	4382	20802
174	4403	20758
175	4432	20754
176	4458	20730
177	4484	20708
178	4508	20676
179	4529	20632
180	4556	20615
181	4582	20595
182	4610	20581
183	4634	20551
184	4660	20529
185	4686	20509
186	4711	20481
187	4735	20454
188	4760	20428
189	4786	20407
190	4809	20372
191	4836	20352
192	4868	20357
193	4898	20352
194	4922	20319
195	4947	20295
196	4969	20257
197	4993	20227
198	5022	20218
199	5049	20197
200	5076	20178
201	5102	20159
202	5125	20121
203	5150	20095
204	5175	20070
205	5198	20037
206	5225	20016
207	5251	19995
208	5276	19968
209	5302	19946
210	5328	19924
211	5355	19907
212	5384	19893
213	5410	19872
214	5434	19842
215	5460	19818
216	5487	19801
217	5512	19773
218	5541	19762
219	5565	19733
220	5592	19712
221	5619	19692
222	5642	19661
223	5669	19639
224	5695	19619
225	5718	19585
