epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,39,,,0.893221914768219,0.9504322409629822,0.9749011397361755,0.9504322409629822
0,39,0.9884660840034485,,,,,
1,49,,0.7849124670028687,,,,
1,79,,,0.7890138030052185,0.9805959463119507,0.9902504682540894,0.9805959463119507
1,79,0.9303973317146301,,,,,
2,99,,0.9759136438369751,,,,
2,119,,,0.85032719373703,0.8552526235580444,0.9247986674308777,0.8552526235580444
2,119,0.908650279045105,,,,,
3,149,,0.9503690600395203,,,,
3,159,,,0.8485936522483826,0.8529508113861084,0.9235533475875854,0.8529508113861084
3,159,0.9153822660446167,,,,,
4,199,,0.7660378217697144,,,,
4,199,,,0.7717577815055847,0.816227912902832,0.9034533500671387,0.816227912902832
4,199,0.8625328540802002,,,,,
5,239,,,0.7261533737182617,0.8115915060043335,0.9008837342262268,0.8115915060043335
5,239,0.8262853622436523,,,,,
6,249,,0.6994695067405701,,,,
6,279,,,0.6923900842666626,0.7427818179130554,0.8618479371070862,0.7427818179130554
6,279,0.7834290266036987,,,,,
7,299,,0.7573890089988708,,,,
7,319,,,0.6638796329498291,0.7249259352684021,0.85142582654953,0.7249259352684021
7,319,0.7503265738487244,,,,,
8,349,,0.6113181710243225,,,,
8,359,,,0.645702600479126,0.7408578991889954,0.8607310056686401,0.7408578991889954
8,359,0.7126525044441223,,,,,
9,399,,0.5790772438049316,,,,
9,399,,,0.6331859827041626,0.7333475351333618,0.8563571572303772,0.7333475351333618
9,399,0.682274580001831,,,,,
10,439,,,0.6258521676063538,0.7274161577224731,0.852886974811554,0.7274161577224731
10,439,0.6544561386108398,,,,,
11,449,,0.6683372259140015,,,,
11,479,,,0.6219428181648254,0.7187240123748779,0.847775936126709,0.7187240123748779
11,479,0.6322956085205078,,,,,
12,499,,0.5720510482788086,,,,
12,519,,,0.6170180439949036,0.7013680338859558,0.8374772071838379,0.7013680338859558
12,519,0.6136787533760071,,,,,
13,549,,0.5292741060256958,,,,
13,559,,,0.6128210425376892,0.6896190643310547,0.8304330706596375,0.6896190643310547
13,559,0.5993511080741882,,,,,
14,599,,0.504917323589325,,,,
14,599,,,0.6086163520812988,0.6791239976882935,0.8240898251533508,0.6791239976882935
14,599,0.5875371098518372,,,,,
15,639,,,0.6039974093437195,0.6682048439979553,0.8174379467964172,0.6682048439979553
15,639,0.5774776935577393,,,,,
16,649,,0.5657869577407837,,,,
16,679,,,0.6009426712989807,0.664172887802124,0.8149680495262146,0.664172887802124
16,679,0.5688515305519104,,,,,
17,699,,0.5188083648681641,,,,
17,719,,,0.5983278155326843,0.6621074080467224,0.8136998414993286,0.6621074080467224
17,719,0.5610457062721252,,,,,
18,749,,0.4737785756587982,,,,
18,759,,,0.595425009727478,0.6635876893997192,0.8146089315414429,0.6635876893997192
18,759,0.5539097785949707,,,,,
19,799,,0.46230512857437134,,,,
19,799,,,0.5925096273422241,0.6646891832351685,0.8152847290039062,0.6646891832351685
19,799,0.5470364689826965,,,,,
20,839,,,0.5896015167236328,0.664900541305542,0.815414309501648,0.664900541305542
20,839,0.5409922003746033,,,,,
21,849,,0.5173618793487549,,,,
21,879,,,0.5872807502746582,0.6638414263725281,0.8147646188735962,0.6638414263725281
21,879,0.5356355905532837,,,,,
22,899,,0.5002743005752563,,,,
22,919,,,0.5852401256561279,0.6626737713813782,0.8140477538108826,0.6626737713813782
22,919,0.5309237241744995,,,,,
23,949,,0.4292146563529968,,,,
23,959,,,0.5835664868354797,0.6619687080383301,0.8136146068572998,0.6619687080383301
23,959,0.5266461372375488,,,,,
24,999,,0.4362984895706177,,,,
24,999,,,0.5821242928504944,0.6601501107215881,0.8124962449073792,0.6601500511169434
24,999,0.5228222608566284,,,,,
25,1039,,,0.5808599591255188,0.6582383513450623,0.8113188743591309,0.6582383513450623
25,1039,0.5192909836769104,,,,,
26,1049,,0.50003981590271,,,,
26,1079,,,0.5797961950302124,0.6550419330596924,0.809346616268158,0.6550419330596924
26,1079,0.5161207914352417,,,,,
27,1099,,0.4897966980934143,,,,
27,1119,,,0.5789595246315002,0.6522008180618286,0.8075895309448242,0.6522008180618286
27,1119,0.5132865905761719,,,,,
28,1149,,0.40540528297424316,,,,
28,1159,,,0.5778384208679199,0.6481922268867493,0.8051038384437561,0.6481922268867493
28,1159,0.5107067823410034,,,,,
29,1199,,0.42730608582496643,,,,
29,1199,,,0.5765618681907654,0.6434817910194397,0.8021731972694397,0.6434817910194397
29,1199,0.508438766002655,,,,,
